problem,category,prompt,field_matches,field_total,field_accuracy,ambiguity_flags,Lx_match,Ly_match,mesh_reasonable,volfrac_match,n_supports_match,n_loads_match,n_passive_match,support_semantics_match,load_semantics_match,passive_semantics_match
p01_cantilever_wall,paraphrased_canonical,Make a rectangular cantilever; clamp the left wall and put a downward force halfway up the free right edge.,9,9,1.0,,True,True,True,True,True,True,True,True,True,True
p02_mbb_words,paraphrased_canonical,"Use the standard MBB setup with left symmetry, a vertical roller at the lower right, and a downward load at the upper left.",9,9,1.0,,True,True,True,True,True,True,True,True,True,True
p03_bridge_deck,paraphrased_canonical,Bridge-like span: support the underside vertically and apply uniform deck pressure downward; use thirty percent material.,8,9,0.8888888888888888,,True,True,True,False,True,True,True,True,True,True
p04_pipe_cutout,paraphrased_canonical,"Cantilever with a central circular pipe cutout, fixed left side, and a downward right-midpoint tip load.",6,9,0.6666666666666666,tip,True,True,True,False,True,True,False,True,True,False
p05_tall_short_beam,paraphrased_canonical,"A short deep beam, taller than it is wide, clamped on the left and loaded downward at the right-side midpoint.",9,9,1.0,,True,True,True,True,True,True,True,True,True,True
p06_two_corner_supports,paraphrased_canonical,Support the two lower corners and load the top center downward in a three-to-one beam.,5,9,0.5555555555555556,,False,True,True,True,False,True,True,False,False,True
p07_lightweight_tip,paraphrased_canonical,Only allow 30 percent material in a left-clamped cantilever with a downward load at the free tip.,9,9,1.0,tip,True,True,True,True,True,True,True,True,True,True
p08_two_down_forces,paraphrased_canonical,"Left-clamped beam with two downward forces, one high and one low on the right boundary.",7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
p09_l_shape_outward,paraphrased_canonical,"L bracket, top fixed, square domain, pull the lower-right side horizontally outward.",6,9,0.6666666666666666,right side,True,True,True,False,True,True,True,False,False,True
p10_slender_beam,paraphrased_canonical,"Slender six-to-one cantilever, fixed on the west side, with a downward free-end load.",7,9,0.7777777777777778,,False,True,True,True,True,True,True,True,False,True
s01_west_clamp,spatial_language,Clamp the west boundary and push down at the east midpoint.,9,9,1.0,,True,True,True,True,True,True,True,True,True,True
s02_east_clamp,spatial_language,Clamp the east boundary and push down at the west midpoint.,7,9,0.7777777777777778,,True,True,True,True,True,True,True,False,False,True
s03_south_support,spatial_language,Use a southern vertical support and load the northern edge with downward pressure.,5,9,0.5555555555555556,,False,True,True,False,True,True,True,False,False,True
s04_north_clamp,spatial_language,Attach the top edge and pull the lower-right point outward.,5,9,0.5555555555555556,,True,False,True,False,True,True,True,False,False,True
s05_upper_corner,spatial_language,Left wall fixed; apply a downward point load at the upper free corner.,8,9,0.8888888888888888,,True,True,True,True,True,True,True,True,False,True
s06_lower_corner,spatial_language,Left wall fixed; apply an upward point load at the lower free corner.,8,9,0.8888888888888888,,True,True,True,True,True,True,True,True,False,True
s07_midheight_horizontal,spatial_language,"Left edge clamped, free side pushed to the right at mid-height.",8,9,0.8888888888888888,,True,True,True,True,True,True,True,True,False,True
s08_bottom_corners_pin,spatial_language,A three-unit beam with vertical restraints at both bottom corners and a top-center downward load.,5,9,0.5555555555555556,,False,True,True,True,False,True,True,False,False,True
s09_right_face_pull,spatial_language,Fix the top of a square bracket and pull the right face at one-quarter height.,6,9,0.6666666666666666,,True,True,True,False,True,True,True,False,False,True
s10_free_end_tip,spatial_language,"A long six-by-one bar fixed at the western end, loaded downward at the free-end midpoint.",7,9,0.7777777777777778,,False,True,True,True,True,True,True,True,False,True
m01_upper_lower_down,multi_load,Left edge fixed; downward forces at both the upper-right and lower-right points.,7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
m02_opposed_vertical,multi_load,Left wall fixed; top-right force downward and bottom-right force upward.,7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
m03_down_and_back,multi_load,Left-clamped bracket arm with a downward tip load and a smaller backward horizontal load at the same right-midpoint.,7,9,0.7777777777777778,tip,True,True,True,True,True,False,True,True,False,True
m04_pressure_plus_tip,multi_load,Bottom edge supports vertical motion; apply top pressure and an extra downward point load at midspan.,4,9,0.4444444444444444,,False,True,True,False,True,False,True,False,False,True
m05_three_point_loads,multi_load,Cantilever with three downward point loads equally spaced on the free right edge.,7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
m06_lbracket_two_forces,multi_load,Top-fixed square bracket with rightward pull low on the right side and a downward force at the outer corner.,5,9,0.5555555555555556,right side,True,True,True,False,True,False,True,False,False,True
m07_mbb_extra_tip,multi_load,MBB beam with the standard upper-left downward load and a second small downward load at midspan.,7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
m08_shear_pair,multi_load,A short deep left-clamped beam with one downward and one rightward load at the free-side midpoint.,7,9,0.7777777777777778,,True,True,True,True,True,False,True,True,False,True
m09_bridge_side_load,multi_load,"Bridge span with vertical bottom support, deck pressure, and a small horizontal side load at the right end.",6,9,0.6666666666666666,,True,True,True,False,True,False,True,True,False,True
m10_split_tip_load,multi_load,Six-to-one cantilever with two downward loads bracketing the free-end midpoint.,6,9,0.6666666666666666,,False,True,True,True,True,False,True,True,False,True
v01_center_void,passive_region,Left-clamped cantilever with a circular void at the center and a downward free-end load.,8,9,0.8888888888888888,,True,True,True,False,True,True,True,True,True,True
