problem,suite,template_fields,explicit_fields,manual_completion_fields,explicit_fraction,missing_fields,prompt
cantilever_basic,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,Cantilever beam. Left edge is clamped. Downward point load at the center of the right edge. 50% volume fraction.
mbb_beam,canonical,9,8,1,0.8888888888888888,mesh_resolution,"MBB beam, 3:1 aspect ratio. Symmetry boundary condition on the left edge, roller support at the bottom right corner. Downward load at the top left corner. Half material."
bridge,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,"Bridge structure. 4 meters wide, 1 meter tall. Bottom edge supported vertically (pin_y). Uniform downward pressure on the top edge. Use 30% material."
cantilever_with_hole,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,"Cantilever beam, left edge fixed, tip load downward at mid-right. There's a circular hole in the center of the beam for a pipe, radius 0.15. Use 40% volume fraction."
deep_beam_shear,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,"Short deep cantilever: 1 unit wide, 2 units tall. Left edge clamped. Downward load at the midpoint of the right edge. 50 percent material."
simply_supported_center,canonical,9,8,1,0.8888888888888888,mesh_resolution,"Simply supported beam. Fixed supports at both bottom corners. Point load at the top center, going down. 50% volume fraction. 3 to 1 aspect ratio."
cantilever_low_vf,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,Lightweight cantilever beam. Left wall fixed. Load at the tip pointing down. Only 30% material allowed.
dual_load,canonical,9,7,2,0.7777777777777778,domain_dimensions;mesh_resolution,"Cantilever with two loads: one at the upper-right and one at the lower-right, both pushing down. Left edge is fixed. 50% volume fraction."
lbracket,canonical,9,8,1,0.8888888888888888,mesh_resolution,L-bracket: square domain 2x2. Top edge fixed to the wall. Horizontal load pointing right at the lower part of the right edge. 40% material.
high_aspect,canonical,9,8,1,0.8888888888888888,mesh_resolution,"Very long cantilever, 6 to 1 aspect ratio. Fixed on the left. Downward tip load. 50% volume fraction."
western_clamped_free_tip,challenge,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,A beam is clamped along the western boundary and pulled downward at the free-end midpoint.
eastern_wall_left_load,challenge,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Use an eastern wall clamp and apply a downward force at the midpoint of the opposite free side.
load_rightward_midspan,challenge,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Clamp the left wall and push the free end horizontally to the right at mid-height.
multi_load_mixed_direction,challenge,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Left wall fixed; one downward force at the upper free corner and one upward force at the lower free corner.
void_off_center,challenge,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_type,Cantilever with a pipe cutout one third from the clamp and centered vertically.
solid_bolt_plate,challenge,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_direction,"Keep a solid bolt plate at the loaded end of a cantilever, centered around mid-height."
top_clamped_bracket,challenge,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;volume_fraction;support_type;load_type,"For an L-shaped bracket, attach the upper edge to the wall and pull the lower right side horizontally outward."
roller_language,challenge,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,Model a three-unit beam with a vertical restraint at each bottom corner and a downward load at top center.
distributed_bottom_support,challenge,9,3,6,0.3333333333333333,domain_dimensions;mesh_resolution;volume_fraction;support_type;support_location;load_location,A bridge-like span with vertical support along the underside and pressure over the deck.
fine_mesh_words,challenge,9,3,6,0.3333333333333333,domain_dimensions;support_type;support_location;load_type;load_location;load_direction,Use a high-resolution four-to-one cantilever with forty percent material.
p01_cantilever_wall,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;support_type,Make a rectangular cantilever; clamp the left wall and put a downward force halfway up the free right edge.
p02_mbb_words,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"Use the standard MBB setup with left symmetry, a vertical roller at the lower right, and a downward load at the upper left."
p03_bridge_deck,expanded_paraphrased_canonical,9,4,5,0.4444444444444444,domain_dimensions;mesh_resolution;support_type;support_location;load_location,Bridge-like span: support the underside vertically and apply uniform deck pressure downward; use thirty percent material.
p04_pipe_cutout,expanded_paraphrased_canonical,9,5,4,0.5555555555555556,domain_dimensions;mesh_resolution;volume_fraction;passive_regions,"Cantilever with a central circular pipe cutout, fixed left side, and a downward right-midpoint tip load."
p05_tall_short_beam,expanded_paraphrased_canonical,9,6,3,0.6666666666666666,domain_dimensions;mesh_resolution;volume_fraction,"A short deep beam, taller than it is wide, clamped on the left and loaded downward at the right-side midpoint."
